"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 04 20:03:54 IST 2022","Mon Apr 04 20:03:58 IST 2022","3890","Suite","Test","tests.APIAutomationTest","tests.APIAutomationTest","API_Test","API_Test",""
"passed","Mon Apr 04 20:03:38 IST 2022","Mon Apr 04 20:03:53 IST 2022","15391","Suite","Test","tests.WebAutomationTest","tests.WebAutomationTest","UI_Test","UI_Test",""
"passed","Mon Apr 04 20:03:58 IST 2022","Mon Apr 04 20:03:58 IST 2022","433","Suite","Test","tests.APIAutomationTest","tests.APIAutomationTest","API_Test","API_Test",""
